thread_id,customer_tweet_id,customer_user_id,customer_text,brand_tweet_id,brand_text,created_at,is_informative_resolution,filter_reason,category_tag
th_100001,100001,cust_5001,@AmazonHelp My parcel was supposed to arrive yesterday by 8pm (Order ID: 112-9847291). Tracker says 'out for delivery' since 9am yesterday with no update!,100002,"@customer We apologize for the delay! Carriers can deliver up to 9 PM local time. If there is no scan by tomorrow morning, you can request a replacement or refund under Your Orders.",Sun Jan 01 00:06:00 +0000 2023,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_100003,100003,cust_5002,@AmazonHelp Where is my delivery? It has been 4 days past the estimated delivery date and customer service is not answering!,100004,"@customer We're very sorry for the wait. Please track your package directly at amazon.com/orders. If it shows delayed, you can select 'Problem with order' for an instant resolution.",Sun Jan 01 00:19:00 +0000 2023,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_100005,100005,cust_5003,@AmazonHelp tracking says delivered to porch but there is nothing here. Checked with neighbors too. Stolen??,100006,"@customer We understand how concerning this is. Sometimes carriers mark packages delivered 24 hours early. Please check backdoors, mailbox, and building manager. If still missing after 24 hrs, reach out.",Sun Jan 01 00:31:00 +0000 2023,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_100007,100007,cust_5004,@AmazonHelp why is my shipment stuck in transit for 5 days in Chicago?,100008,@customer Please DM us your details so we can check this.,Sun Jan 01 00:43:00 +0000 2023,False,PURE_DM_REQUEST_NO_GUIDANCE,ORDER_TRACKING_DELAY
th_100009,100009,cust_5005,@AmazonHelp I dropped off my return at UPS 7 days ago. When will my refund be credited to my original bank account?,100010,"@customer Once UPS scans the return, refunds typically process within 3 to 5 business days to your original payment method. You can track return receipt in Your Orders.",Sun Jan 01 00:57:00 +0000 2023,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_100011,100011,cust_5006,@AmazonHelp I want to return an opened electronics item. Am I still eligible within the 30-day window? Pls reply asap.,100012,"@customer Yes, most items fulfilled by Amazon can be returned within 30 days of receipt. Visit Your Orders > Return or Replace Items to print a prepaid return label.",Sun Jan 01 01:09:00 +0000 2023,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_100013,100013,cust_5007,"@AmazonHelp returned shoes because size was small, still waiting on refund.",100014,@customer Send us a DM with your tracking number.,Sun Jan 01 01:17:00 +0000 2023,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_100015,100015,cust_5008,@AmazonHelp I ordered a coffee maker and received a box of shampoo bottles! How do I get what I actually paid for?,100016,"@customer We're so sorry for this mix-up! Please go to Your Orders, select the coffee maker, and click 'Return or Replace items' to receive an immediate replacement at zero extra cost.",Sun Jan 01 01:31:00 +0000 2023,True,INFORMATIVE_RESOLUTION,DAMAGED_WRONG_ITEM
th_100017,100017,cust_5009,@AmazonHelp ceramic bowl arrived completely shattered into pieces. Glass was everywhere when I opened the box!,100018,@customer That's unacceptable and we sincerely apologize! You do not need to ship broken glass back. Go to Your Orders to request an instant refund or replacement.,Sun Jan 01 01:47:00 +0000 2023,True,INFORMATIVE_RESOLUTION,DAMAGED_WRONG_ITEM
th_100019,100019,cust_5010,@AmazonHelp got damaged book with torn pages.,100020,@customer Please DM us your order ID.,Sun Jan 01 01:57:00 +0000 2023,False,PURE_DM_REQUEST_NO_GUIDANCE,DAMAGED_WRONG_ITEM
