thread_id,customer_tweet_id,customer_user_id,customer_text,brand_tweet_id,brand_text,created_at,is_informative_resolution,filter_reason,category_tag
th_616,616,115820,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:22:08 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_627,627,115827,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,@115827 Thanks for your patience. ^KM,Wed Nov 01 12:50:18 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_634,634,115831,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,633,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 21:39:58 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_643,643,115834,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",642,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Mon Oct 30 23:44:45 +0000 2017,True,INFORMATIVE_RESOLUTION,PRODUCT_TECH_SUPPORT
th_645,645,115835,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,647,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,Wed Nov 01 08:04:52 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_646,646,115835,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,644,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Tue Oct 31 21:40:30 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_651,651,115838,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",653,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",Tue Oct 31 22:25:58 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_654,654,115838,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,655,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Tue Oct 31 22:53:50 +0000 2017,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_652,652,115838,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,650,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,Tue Oct 31 22:11:15 +0000 2017,True,INFORMATIVE_RESOLUTION,ESCALATION_HIGH_RISK
th_657,657,115839,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",656,@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,Tue Oct 31 22:18:42 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_664,664,115842,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",663,@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23BWe're unable to view order details via Twitter. ^KL,Tue Oct 31 21:50:49 +0000 2017,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_686,686,115849,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,684,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,Tue Oct 31 22:06:53 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_690,690,115849,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,689,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,Tue Oct 31 21:45:15 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_693,693,115852,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,692,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,Tue Oct 31 22:10:21 +0000 2017,True,INFORMATIVE_RESOLUTION,PRIME_MEMBERSHIP_BILLING
th_1693,1693,116081,@AmazonHelp but I can’t find the options to cancel or re-order?,1696,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 22:54:54 +0000 2017,True,INFORMATIVE_RESOLUTION,REFUND_RETURN_INQUIRY
th_1698,1698,116082,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,1700,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:47:50 +0000 2017,True,INFORMATIVE_RESOLUTION,PRIME_MEMBERSHIP_BILLING
th_1699,1699,116082,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,1697,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,Tue Oct 31 22:34:38 +0000 2017,True,INFORMATIVE_RESOLUTION,PRIME_MEMBERSHIP_BILLING
th_1706,1706,116083,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",1705,@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,Tue Oct 31 22:33:08 +0000 2017,True,INFORMATIVE_RESOLUTION,PRIME_MEMBERSHIP_BILLING
th_1710,1710,116084,@AmazonHelp where can I chat with a support member for a false charge,1709,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,Tue Oct 31 22:33:35 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_1713,1713,116085,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,1711,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,Tue Oct 31 21:21:34 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_1717,1717,116087,"@AmazonHelp My package just got here. All good, thank you!",1719,"@116087 Thank you for keeping us posted, Rachael! ^BA",Tue Oct 31 22:40:54 +0000 2017,True,INFORMATIVE_RESOLUTION,ORDER_TRACKING_DELAY
th_1721,1721,116088,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,1723,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",Tue Oct 31 22:37:35 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
th_1724,1724,116088,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,1725,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,Tue Oct 31 22:48:50 +0000 2017,True,INFORMATIVE_RESOLUTION,PRIME_MEMBERSHIP_BILLING
th_1726,1726,116088,@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,1727,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,Tue Oct 31 23:05:46 +0000 2017,True,INFORMATIVE_RESOLUTION,OTHER_GENERAL
